Player,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323113.png","Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. "
Matt Parkinson,England,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323105.png","A chirpy legspinner from Bolton, Matt Parkinson was the most prolific white-ball wicket-taker in the country for two seasons before earning an England call-up for the 2019-20 tour of New Zealand. Unlike most modern wristspinners, Parkinson bowls slowly and tosses the ball up above the eyeline, relying on prodigious natural turn and drift rather than pace and variations to take his wickets."
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319940.png","Jasprit Bumrah grabbed eyeballs first with his unorthodox action, and then his bowling skills. Armed with an anomalous, sling-arm action and natural pace, the peculiar release point of Bumrah's deliveries makes it hard for batsmen to pick him. "
David Willey,England,Left hand Bat,Left arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322904.png","Naturally competitive, willing to innovate, capable of changing a game with bat or ball, stunning run-out or implausible catch, David Willey has a lot going for him as a limited-overs cricketer. "
Richard Gleeson,England,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324200/324238.png","Richard Gleeson proved himself an integral part of Northamptonshire's NatWest T20 Blast side in 2016. He missed Finals Day - their third in four years and one in which they emerged victorious - but he had done much to get them there, showing splendid economy levels, under six an over, with aggressive, full-length bowling and mastery of the yorker under pressure. It was all enough to win him a berth with Rangpur Riders in the 2016 Bangladesh Premier League."
Steven Taylor,United States of America,Left hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/173000/173077.1.jpg","One of the best homegrown talents in the modern generation of USA cricket, Steven Taylor's imposing physical presence makes him capable of destructive power-hitting, a rare characteristic at Associate level. "
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316568.png","Sean Williams is a bold, dynamic left-hand batsman, and one of the most striking features about his batting is his proficiency at the reverse-sweep. That shot has occupied a proud position in the repertoire of some of Zimbabwe's finest batsmen: legend has it that Dave Houghton brought up both his hundred and his double with reverse-sweeps in the course of his 266 against Sri Lanka, and Andy Flower used the stroke in an almost profligate manner in many of his memorable innings. Williams is as adept at the stroke as either of these two elder statesmen of Zimbabwean cricket, which he proved during the course of his maiden Test century against New Zealand in Bulawayo in July 2016. Equally astounding was his resolve to overcome sickness and high fever to battle on for over three hours during the course of that knock, in a game in which Zimbabwe were floundering."
Nizakat Khan,Hong Kong,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321800/321895.png","Nizakat Khan scored 180 runs at the 2010 Under-19 World Cup Qualifiers, including two half-centuries. He also impressed with the ball, capturing ten wickets, which earned him a place in Hong Kong's squad for the main tournament."
Aizaz Khan,Hong Kong,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321800/321897.png","At 16, medium-pace allrounder Aizaz Khan showed he had the temperament for the big leagues, scoring an unbeaten 30 off 25 balls from No. 9 and taking two wickets (and nearly defending two runs in the final over) against USA Under-19s as Hong Kong qualified for the 2010 U-19 World Cup. Over a year later, with Hong Kong needing 26 off the final two overs against Italy in the World Cricket League Division Three, he got them home with an eight-ball 24 that included three straight sixes. Three days later, Hong Kong went on to win the tournament. "
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322485.png","An aggressive batsman who was born in Wollongong, in New South Wales - the
same coastal city which produced Brett Lee - Tom Cooper now plays his club
cricket for University in Adelaide. An Australian Under-19 representative - he made 104 against South Africa in the 2005-06 Youth World Cup - Cooper broke into the senior South Australian side in November 2008."
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/331100/331170.png","Logan van Beek is an allrounder in more ways than one. As a cricketer, he compares his play to that of Shane Watson, he also represented New Zealand at the World Under-19 Basketball Championships in 2009, and he works as a sports coach. Named in the New Zealand squad for the Under-19 World Cup in 2010, van Beek is the grandson of Sammy Guillen, who played Test cricket for both West Indies and New Zealand.Cricinfo staff January 2010"
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324200/324241.png","Spotted as part of a Netherlands development squad which played two one-day friendlies against Kent in 2018, Fred Klaassen joined the county's Second XI, taking nine wickets in two appearances to earn a two-year deal ahead of the 2019 summer. After an impressive debut season for Kent's first team, Klaassen signed a contract extension to keep him at the club at least until the end of 2021."
Gareth Berg,Italy,Right hand Bat,Right arm Medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/320700/320760.1.jpg","A bustling, brisk seam bowler and middle-order batsman, Gareth Berg learned his cricket in South Africa, playing a handful of one-day games for Western Province B, before moving to live in England and pro on the club scene. "
Saurabh Netravalkar,United States of America,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/340300/340322.png","A tall left-arm fast bowler, Saurabh Netravalkar took 30 wickets in six games in the Cooch Behar Trophy in 2008-09. He was the leading wicket-taker in the Under-19 tri-nation tournament in South Africa just before the World Cup in New Zealand, with eight wickets. He has the ability to get good bounce because of his height. He is also qualifying to be an engineer.  Cricinfo Staff January 2010"
Siva Kumar,United States of America,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/203500/203595.1.jpg",Duvvarapu Shivkumar is a right-hand batsman and medium-pacer who was part of India's Under-19 squad that won the World Cup in Malaysia in 2008. He began playing cricket in 2000 would like to be an engineer if he doesn't make it as a professional cricketer. Cricinfo staff February 2008
Juan Theron,United States of America,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322092.png","The seam bowler from the Eastern Cape made his name as a last-over specialist in the 2009-10 Standard Bank Pro20. His secret is nothing overly complicated. He bowls full and straight most of the time and mixes things up with the odd slower ball. Theron's cricketing prowess was recognised in primary school. As soon as he was identified as a talent he received a bursary to Grey High School in Port Elizabeth, a training ground for many cricketing greats such as Graeme Pollock, Peter Pollock, Johan Botha and Wayne Parnell. He made his first-class debut in November 2005 and took 60 wickets at 18.26 in his first 15 matches. He topped the first-class and List A bowling rankings for the Warriors almost every season since then. His performance in the limited-overs form of the game has also been exceptional. Theron was awarded the MTN Domestic Championship Cricketer of the Year in 2008. "
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322644.png","Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff"
Martin Guptill,New Zealand,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316591.png","Few players in world cricket play the short-arm pull on one leg with elegance like Martin Guptill. A right-handed opening batsman, Guptill has consistently been among the runs in ODIs notably making a double-century in the quarter-final of the 2015 World Cup, but has struggled to make a mark in Tests."
